Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1643.5065549530514
FDW14,OUT017,1364.1427464751832
NCN55,OUT010,571.5595893623596
FDQ58,OUT017,2469.018715139677
FDY38,OUT027,5839.033547965494
FDH56,OUT046,1939.1928525496862
FDL48,OUT018,757.5019737452614
FDC48,OUT027,2161.982366492596
FDN33,OUT045,1525.4970515029763
FDA36,OUT017,3107.6093663927586
FDT44,OUT017,1936.165563733872
FDQ56,OUT045,1359.7112364631591
NCC54,OUT019,571.8577181679252
FDU11,OUT049,2016.3926761365087
DRL59,OUT013,883.3064086380203
FDM24,OUT049,2456.5806884053427
FDI57,OUT045,3060.625940422894
DRC12,OUT018,2957.720819517956
NCM42,OUT027,2918.476661092288
FDA46,OUT010,509.11086067764626
FDA31,OUT013,2839.122704971763
NCJ31,OUT035,3847.7644047021763
FDG52,OUT046,792.9008827860085
NCL19,OUT019,287.93038788680667
FDS10,OUT035,2991.6201836876626
FDX22,OUT010,564.5196285979449
NCF19,OUT035,757.6826504305391
NCE06,OUT046,2553.8242454051465
DRC27,OUT046,3882.628416088121
FDE21,OUT035,1958.729922687079
NCR42,OUT019,131.48026469528463
FDX51,OUT018,3003.5850190224896
NCR06,OUT018,615.0094321169676
FDU31,OUT027,5840.855117928703
FDU59,OUT017,2553.8866805795533
FDR03,OUT027,5838.197267203354
FDS49,OUT027,2077.283861671126
FDD48,OUT010,265.86861297378096
NCF18,OUT017,3026.0486534269717
NCD43,OUT027,2851.237611743234
NCD54,OUT018,2102.3257735827547
FDY19,OUT010,266.6342853469954
NCY54,OUT017,2851.017986946566
NCL19,OUT018,2433.2926866614325
FDP23,OUT010,568.6679254881061
FDC26,OUT013,1740.025543876907
FDR14,OUT010,131.48026469528463
NCS41,OUT035,3118.9448015167495
FDF41,OUT035,3854.246670286248
FDU34,OUT046,2049.247451321201
DRH11,OUT046,974.0845783868427
FDM03,OUT013,1646.7888204118549
FDS31,OUT017,3071.483338586801
FDJ20,OUT017,1995.5785932708147
FDV44,OUT027,5194.332327145208
FDG02,OUT049,3124.4297605579773
FDA09,OUT013,3003.219702922282
FDT04,OUT013,705.5211812362024
FDL58,OUT019,570.4699988033408
FDE52,OUT045,1382.2835101725284
FDW12,OUT035,2483.202461042236
FDL51,OUT017,3657.5763067042203
NCY42,OUT027,3010.5658457648797
FDR07,OUT017,1541.466148529615
FDN40,OUT045,2469.221529041384
FDB35,OUT027,2678.4077419777377
FDA22,OUT017,2545.841259887771
NCL06,OUT046,4139.063292288463
FDI35,OUT013,3060.4650094234066
NCW42,OUT045,3761.467548133404
NCX06,OUT049,3002.951065634166
FDC37,OUT027,2890.2959819089765
FDZ14,OUT018,1955.7608132344246
DRG49,OUT049,3867.601062588734
NCG06,OUT045,4104.0083347664595
DRC36,OUT045,2861.1438933254185
FDV21,OUT019,280.5679977844806
FDB53,OUT046,2502.610923129307
DRP47,OUT019,569.2554157390813
FDA14,OUT013,2464.4542114410224
DRC24,OUT035,2537.9822058060568
FDW21,OUT018,1615.0927574902516
NCH29,OUT046,1544.778792874775
FDU58,OUT013,3094.5092265672515
FDY27,OUT017,2882.99076516041
FDV56,OUT035,1656.0501976437342
FDT59,OUT046,3834.190057265192
FDB23,OUT046,3781.7824785511593
